               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  37177.0000  10/13/2001        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  37178.0000  10/14/2001        0.2355        0.0000        0.0000        0.0000        0.0000        0.0000
  37179.0000  10/15/2001        0.2344        0.0000        0.0000        0.0000        0.0000        0.0000
  37180.0000  10/16/2001        0.2334        0.0000        0.0000        0.0000        0.0000        0.0000
  37181.0000  10/17/2001        0.2325        0.0000        0.0000        0.0000        0.0000        0.0000
  37182.0000  10/18/2001        0.2043        0.0000        0.0000        0.0000        0.0000        0.0000
  37183.0000  10/19/2001        0.2074        0.0000        0.0000        0.0000        0.0000        0.0000
  37184.0000  10/20/2001        0.2106        0.0000        0.0000        0.0000        0.0000        0.0000
  37185.0000  10/21/2001        0.2184        0.0000        0.0000        0.0000        0.0000        0.0000
  37186.0000  10/22/2001        0.2446        0.0000        0.0000        0.0000        0.0000        0.0000
  37187.0000  10/23/2001        0.2254        0.0000        0.0000        0.0000        0.0000        0.0000
  37188.0000  10/24/2001        0.2275        0.0000        0.0000        0.0000        0.0000        0.0000
  37189.0000  10/25/2001        0.2317        0.0000        0.0000        0.0000        0.0000        0.0000
  37190.0000  10/26/2001        0.2101        0.0000        0.0000        0.0000        0.0000        0.0000
  37191.0000  10/27/2001        0.2263        0.0000        0.0000        0.0000        0.0000        0.0000
  37192.0000  10/28/2001        0.2109        0.0000        0.0000        0.0000        0.0000        0.0000
  37193.0000  10/29/2001        0.2243        0.0000        0.0000        0.0000        0.0000        0.0000
  37194.0000  10/30/2001        0.2307        0.0000        0.0000        0.0000        0.0000        0.0000
  37195.0000  10/31/2001        0.2220        0.0000        0.0000        0.0000        0.0000        0.0000
  37196.0000  11/01/2001        0.2274        0.0000        0.0000        0.0000        0.0000        0.0000
  37197.0000  11/02/2001        0.2306        0.0000        0.0000        0.0000        0.0000        0.0000
  37198.0000  11/03/2001        0.2339        0.0000        0.0000        0.0000        0.0000        0.0000
  37199.0000  11/04/2001        0.2361        0.0000        0.0000        0.0000        0.0000        0.0000
  37200.0000  11/05/2001        0.2339        0.0000        0.0000        0.0000        0.0000        0.0000
  37201.0000  11/06/2001        0.2427        0.0000        0.0000        0.0000        0.0000        0.0000
  37202.0000  11/07/2001        0.2244        0.0000        0.0000        0.0000        0.0000        0.0000
  37203.0000  11/08/2001        0.2442        0.0000        0.0000        0.0000        0.0000        0.0000
  37204.0000  11/09/2001        0.2213        0.0000        0.0000        0.0000        0.0000        0.0000
  37205.0000  11/10/2001        0.2342        0.0000        0.0000        0.0000        0.0000        0.0000
